old                                      new                                      ref
4826c5d3798b9e2cc3f7e8cd4904c1b264139254 ed93a75763007a736a17bc79b0588f0ceda8576d refs/heads/codex/frontend-guofeng-cyber-redesign
327920dd943c53d4817f754c01536cebe47b6db4 b537e27efe1ff617847e21cb297ac251e745e88a refs/heads/codex/frontend-ink-prototype
606beeb8fafb01c07ddb85a01ea0826bb1e9184d 9b53ced74c22c7159b237bd4601d17b02927a464 refs/heads/copilot/reference-29974411352
b03ac2ae3358b416f1523f66b6f814c79cad21a2 2b0cf2a45672cc12b619590629c8b60b3324a50a refs/heads/feat/pr-gatekeeper-agent
db5af873bea0846c7ce640028d0cafcd695fd972 4e8c9b60e5859754930474e99b9ec0069dd2b398 refs/heads/feat/production-overhaul
aae34465e6d5202390b8ce0f648421b1c2b46034 a9b3d9e27537d7de9112948004ab685b758beebb refs/heads/fix/defense-hardening
b69e1c3ec5b42bb28b2f8559c941e60af3818a2d 3a29aff101cb9fc384f2d2d4b98a255293cdba39 refs/heads/fix/track-a-core
aff0a9c939ce6f55252627964c6ddcbdfa66788d 57f191cedadd6d2e31f7ef9f617ff57f333212d1 refs/heads/fix/track-b-boundary
9e69cdd1a053a7ebb8c30b2313b3259f2ed57a21 1f67e598587f94283daf2943c195b32a93bb91f5 refs/heads/integration/track-ab
aae34465e6d5202390b8ce0f648421b1c2b46034 a9b3d9e27537d7de9112948004ab685b758beebb refs/heads/local-only/fix/track-b-boundary
ce83abfbc764ae88a4a62e46a02446ea130382ee 2e8a16e8d8e22d905f8f10d701b3b43099889505 refs/heads/main
