timestamp	phase	sample	elapsed_seconds	some_avg10	some_avg60	some_avg300	some_total	full_avg10	full_avg60	full_avg300	full_total
2026-08-20T07:30:24Z	baseline	1	0	avg10=0.00	avg60=0.00	avg300=0.00	total=48057317	avg10=0.00	avg60=0.00	avg300=0.00	total=35082250
2026-08-20T07:30:42Z	baseline	2	18	avg10=0.00	avg60=0.00	avg300=0.00	total=48058822	avg10=0.00	avg60=0.00	avg300=0.00	total=35082933
2026-08-20T07:30:59Z	baseline	3	35	avg10=0.00	avg60=0.00	avg300=0.00	total=48058822	avg10=0.00	avg60=0.00	avg300=0.00	total=35082933
2026-08-20T07:31:17Z	baseline	4	53	avg10=0.00	avg60=0.00	avg300=0.00	total=48058822	avg10=0.00	avg60=0.00	avg300=0.00	total=35082933
2026-08-20T07:31:35Z	baseline	5	71	avg10=0.00	avg60=0.00	avg300=0.00	total=48058828	avg10=0.00	avg60=0.00	avg300=0.00	total=35082940
2026-08-20T07:31:53Z	baseline	6	89	avg10=0.00	avg60=0.00	avg300=0.00	total=48063201	avg10=0.00	avg60=0.00	avg300=0.00	total=35087272
2026-08-20T07:32:11Z	baseline	7	106	avg10=0.00	avg60=0.00	avg300=0.00	total=48063201	avg10=0.00	avg60=0.00	avg300=0.00	total=35087272
2026-08-20T07:32:28Z	baseline	8	124	avg10=0.00	avg60=0.00	avg300=0.00	total=48064382	avg10=0.00	avg60=0.00	avg300=0.00	total=35088454
2026-08-20T07:32:45Z	baseline	9	141	avg10=0.00	avg60=0.00	avg300=0.00	total=48065318	avg10=0.00	avg60=0.00	avg300=0.00	total=35089384
2026-08-20T07:33:03Z	baseline	10	159	avg10=0.00	avg60=0.00	avg300=0.00	total=48065318	avg10=0.00	avg60=0.00	avg300=0.00	total=35089384
2026-08-20T07:33:21Z	baseline	11	177	avg10=0.00	avg60=0.00	avg300=0.00	total=48065318	avg10=0.00	avg60=0.00	avg300=0.00	total=35089384
2026-08-20T07:33:39Z	baseline	12	195	avg10=0.00	avg60=0.00	avg300=0.00	total=48065318	avg10=0.00	avg60=0.00	avg300=0.00	total=35089384
2026-08-20T07:33:57Z	baseline	13	213	avg10=0.00	avg60=0.00	avg300=0.00	total=48065318	avg10=0.00	avg60=0.00	avg300=0.00	total=35089384
2026-08-20T07:34:15Z	baseline	14	230	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:34:32Z	baseline	15	248	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:34:50Z	baseline	16	266	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:35:08Z	baseline	17	284	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:35:26Z	baseline	18	302	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:35:44Z	baseline	19	320	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:36:02Z	baseline	20	337	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:36:19Z	baseline	21	355	avg10=0.00	avg60=0.00	avg300=0.00	total=48066765	avg10=0.00	avg60=0.00	avg300=0.00	total=35090831
2026-08-20T07:39:05Z	steady	1	0	avg10=0.00	avg60=0.00	avg300=0.00	total=48196089	avg10=0.00	avg60=0.00	avg300=0.00	total=35214701
2026-08-20T07:39:25Z	steady	2	19	avg10=0.00	avg60=0.00	avg300=0.00	total=48202464	avg10=0.00	avg60=0.00	avg300=0.00	total=35220934
2026-08-20T07:39:45Z	steady	3	39	avg10=0.00	avg60=0.00	avg300=0.00	total=48208932	avg10=0.00	avg60=0.00	avg300=0.00	total=35227294
2026-08-20T07:40:04Z	steady	4	58	avg10=0.00	avg60=0.00	avg300=0.00	total=48209391	avg10=0.00	avg60=0.00	avg300=0.00	total=35227737
2026-08-20T07:40:24Z	steady	5	78	avg10=0.00	avg60=0.00	avg300=0.00	total=48210500	avg10=0.00	avg60=0.00	avg300=0.00	total=35228846
2026-08-20T07:40:43Z	steady	6	97	avg10=0.00	avg60=0.00	avg300=0.00	total=48210500	avg10=0.00	avg60=0.00	avg300=0.00	total=35228846
2026-08-20T07:41:02Z	steady	7	116	avg10=0.00	avg60=0.00	avg300=0.00	total=48215202	avg10=0.00	avg60=0.00	avg300=0.00	total=35233502
2026-08-20T07:41:21Z	steady	8	135	avg10=0.00	avg60=0.00	avg300=0.00	total=48215202	avg10=0.00	avg60=0.00	avg300=0.00	total=35233502
2026-08-20T07:41:41Z	steady	9	155	avg10=0.00	avg60=0.00	avg300=0.00	total=48224541	avg10=0.00	avg60=0.00	avg300=0.00	total=35241690
2026-08-20T07:42:00Z	steady	10	174	avg10=0.00	avg60=0.00	avg300=0.00	total=48224541	avg10=0.00	avg60=0.00	avg300=0.00	total=35241690
2026-08-20T07:42:20Z	steady	11	194	avg10=0.00	avg60=0.00	avg300=0.00	total=48224541	avg10=0.00	avg60=0.00	avg300=0.00	total=35241690
2026-08-20T07:42:39Z	steady	12	213	avg10=0.00	avg60=0.00	avg300=0.00	total=48226118	avg10=0.00	avg60=0.00	avg300=0.00	total=35241701
2026-08-20T07:42:59Z	steady	13	233	avg10=0.00	avg60=0.00	avg300=0.00	total=48226118	avg10=0.00	avg60=0.00	avg300=0.00	total=35241701
2026-08-20T07:43:19Z	steady	14	253	avg10=0.00	avg60=0.00	avg300=0.00	total=48246192	avg10=0.00	avg60=0.00	avg300=0.00	total=35249078
