timestamp	phase	sample	elapsed_seconds	MemTotal_kB	MemAvailable_kB	MemFree_kB	Buffers_kB	Cached_kB	SReclaimable_kB	SwapTotal_kB	SwapFree_kB	pswpin	pswpout
2026-08-21T03:07:17Z	baseline	1	0	4005188	2786808	449052	113408	2272980	254660	4194300	4175628	4559	17446
2026-08-21T03:07:32Z	baseline	2	15	4005188	2780888	442452	113484	2273584	254660	4194300	4175628	4559	17446
2026-08-21T03:07:47Z	baseline	3	30	4005188	2789720	451276	113488	2273588	254660	4194300	4175628	4559	17446
2026-08-21T03:08:02Z	baseline	4	45	4005188	2797868	459276	113552	2273672	254660	4194300	4175628	4559	17446
2026-08-21T03:08:17Z	baseline	5	60	4005188	2796696	458088	113568	2273672	254660	4194300	4175628	4559	17446
2026-08-21T03:08:32Z	baseline	6	75	4005188	2788688	450020	113624	2273676	254660	4194300	4175628	4559	17446
2026-08-21T03:08:47Z	baseline	7	90	4005188	2794344	455672	113632	2273680	254660	4194300	4175628	4559	17446
2026-08-21T03:09:02Z	baseline	8	105	4005188	2784704	445892	113716	2273728	254660	4194300	4175628	4559	17446
2026-08-21T03:09:17Z	baseline	9	120	4005188	2789608	450600	113872	2273776	254660	4194300	4175628	4559	17446
2026-08-21T03:09:32Z	baseline	10	135	4005188	2785844	446784	113908	2273784	254660	4194300	4175628	4559	17446
2026-08-21T03:09:47Z	baseline	11	150	4005188	2797036	457976	113912	2273784	254660	4194300	4175628	4559	17446
2026-08-21T03:10:02Z	baseline	12	165	4005188	2796104	456908	113940	2273916	254660	4194300	4175628	4559	17446
2026-08-21T03:10:17Z	baseline	13	180	4005188	2809892	470656	113952	2273916	254660	4194300	4175628	4559	17446
2026-08-21T03:10:32Z	baseline	14	195	4005188	2805768	466484	113988	2273928	254660	4194300	4175628	4559	17446
2026-08-21T03:10:47Z	baseline	15	210	4005188	2794892	455544	114008	2273972	254660	4194300	4175628	4559	17446
2026-08-21T03:11:02Z	baseline	16	225	4005188	2792392	452996	114048	2273980	254660	4194300	4175628	4559	17446
2026-08-21T03:11:17Z	baseline	17	240	4005188	2799852	460440	114076	2273968	254660	4194300	4175628	4559	17446
2026-08-21T03:11:32Z	baseline	18	255	4005188	2791764	452276	114112	2274008	254660	4194300	4175628	4559	17446
2026-08-21T03:11:47Z	baseline	19	270	4005188	2794248	454752	114120	2274008	254660	4194300	4175628	4559	17446
2026-08-21T03:12:02Z	baseline	20	285	4005188	2806588	467040	114168	2274012	254660	4194300	4175628	4559	17446
2026-08-21T03:12:17Z	baseline	21	300	4005188	2806452	466880	114180	2274020	254660	4194300	4175628	4559	17446
2026-08-21T03:14:55Z	steady	1	0	4005188	2478900	129108	113512	2301716	254740	4194300	4175628	4559	17450
2026-08-21T03:15:10Z	steady	2	15	4005188	2478556	131148	113528	2299324	254740	4194300	4175628	4559	17450
2026-08-21T03:15:25Z	steady	3	30	4005188	2463800	130144	113336	2285768	254728	4194300	4175628	4559	17456
2026-08-21T03:15:40Z	steady	4	45	4005188	2470632	136764	113368	2285960	254728	4194300	4175628	4559	17456
2026-08-21T03:15:55Z	steady	5	60	4005188	2468876	134748	113384	2286192	254728	4194300	4175628	4559	17456
2026-08-21T03:16:10Z	steady	6	75	4005188	2465760	131552	113416	2286240	254728	4194300	4175628	4559	17456
2026-08-21T03:16:25Z	steady	7	90	4005188	2461608	127300	113452	2286304	254728	4194300	4175628	4559	17456
2026-08-21T03:16:40Z	steady	8	105	4005188	2451524	117156	113464	2286348	254728	4194300	4175628	4559	17456
2026-08-21T03:16:55Z	steady	9	120	4005188	2460340	125796	113476	2286516	254728	4194300	4175628	4559	17456
2026-08-21T03:17:10Z	steady	10	135	4005188	2460944	126272	113536	2286584	254728	4194300	4175628	4559	17456
2026-08-21T03:17:25Z	steady	11	150	4005188	2456476	131104	113456	2277372	254724	4194300	4175628	4559	17458
2026-08-21T03:17:40Z	steady	12	165	4005188	2452612	127120	113488	2277460	254724	4194300	4175628	4559	17458
2026-08-21T03:17:55Z	steady	13	180	4005188	2453596	128040	113500	2277516	254724	4194300	4175628	4559	17458
2026-08-21T03:18:10Z	steady	14	195	4005188	2458224	132488	113540	2277652	254724	4194300	4175628	4559	17458
2026-08-21T03:18:25Z	steady	15	210	4005188	2461700	135892	113560	2277704	254724	4194300	4175628	4559	17458
2026-08-21T03:18:40Z	steady	16	225	4005188	2454840	128840	113576	2277880	254724	4194300	4175628	4559	17458
2026-08-21T03:18:55Z	steady	17	240	4005188	2452048	125968	113588	2277952	254724	4194300	4175628	4559	17458
