timestamp	phase	sample	service	pid	Rss_kB	Pss_kB	Pss_Anon_kB	Pss_File_kB	Swap_kB
2026-08-21T03:07:19Z	baseline	1	cpa-manager-plus	735532	30424	30420	21252	9168	0
2026-08-21T03:07:19Z	baseline	1	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:07:19Z	baseline	1	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:07:34Z	baseline	2	cpa-manager-plus	735532	30424	30420	21252	9168	0
2026-08-21T03:07:34Z	baseline	2	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:07:34Z	baseline	2	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:07:49Z	baseline	3	cpa-manager-plus	735532	30424	30420	21252	9168	0
2026-08-21T03:07:49Z	baseline	3	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:07:49Z	baseline	3	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:08:04Z	baseline	4	cpa-manager-plus	735532	30424	30420	21252	9168	0
2026-08-21T03:08:04Z	baseline	4	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:08:04Z	baseline	4	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:08:19Z	baseline	5	cpa-manager-plus	735532	30424	30420	21252	9168	0
2026-08-21T03:08:19Z	baseline	5	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:08:19Z	baseline	5	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:08:34Z	baseline	6	cpa-manager-plus	735532	30452	30448	21268	9180	0
2026-08-21T03:08:34Z	baseline	6	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:08:34Z	baseline	6	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:08:49Z	baseline	7	cpa-manager-plus	735532	30452	30448	21268	9180	0
2026-08-21T03:08:49Z	baseline	7	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:08:49Z	baseline	7	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:09:04Z	baseline	8	cpa-manager-plus	735532	30504	30500	21320	9180	0
2026-08-21T03:09:04Z	baseline	8	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:09:04Z	baseline	8	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:09:19Z	baseline	9	cpa-manager-plus	735532	30544	30540	21360	9180	0
2026-08-21T03:09:19Z	baseline	9	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:09:19Z	baseline	9	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:09:34Z	baseline	10	cpa-manager-plus	735532	30556	30552	21372	9180	0
2026-08-21T03:09:34Z	baseline	10	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:09:34Z	baseline	10	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:09:48Z	baseline	11	cpa-manager-plus	735532	30556	30552	21372	9180	0
2026-08-21T03:09:48Z	baseline	11	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:09:48Z	baseline	11	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:10:04Z	baseline	12	cpa-manager-plus	735532	30572	30568	21388	9180	0
2026-08-21T03:10:04Z	baseline	12	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:10:04Z	baseline	12	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:10:19Z	baseline	13	cpa-manager-plus	735532	30572	30568	21388	9180	0
2026-08-21T03:10:19Z	baseline	13	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:10:19Z	baseline	13	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:10:34Z	baseline	14	cpa-manager-plus	735532	30620	30616	21436	9180	0
2026-08-21T03:10:34Z	baseline	14	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:10:34Z	baseline	14	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:10:49Z	baseline	15	cpa-manager-plus	735532	30620	30616	21436	9180	0
2026-08-21T03:10:49Z	baseline	15	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:10:49Z	baseline	15	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:11:04Z	baseline	16	cpa-manager-plus	735532	30628	30624	21444	9180	0
2026-08-21T03:11:04Z	baseline	16	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:11:04Z	baseline	16	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:11:19Z	baseline	17	cpa-manager-plus	735532	30436	30432	21252	9180	0
2026-08-21T03:11:19Z	baseline	17	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:11:19Z	baseline	17	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:11:34Z	baseline	18	cpa-manager-plus	735532	30436	30432	21252	9180	0
2026-08-21T03:11:34Z	baseline	18	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:11:34Z	baseline	18	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:11:49Z	baseline	19	cpa-manager-plus	735532	30436	30432	21252	9180	0
2026-08-21T03:11:49Z	baseline	19	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:11:49Z	baseline	19	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:12:04Z	baseline	20	cpa-manager-plus	735532	30436	30432	21252	9180	0
2026-08-21T03:12:04Z	baseline	20	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:12:04Z	baseline	20	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:12:19Z	baseline	21	cpa-manager-plus	735532	30436	30432	21252	9180	0
2026-08-21T03:12:19Z	baseline	21	cli-proxy-api	735285	31424	31420	19064	12356	0
2026-08-21T03:12:19Z	baseline	21	cloudflared	722	26800	26796	17528	9268	1524
2026-08-21T03:14:57Z	steady	1	forgepilot-phase1-cap-20260821t030713z-53877bba63ce-frontend-1	930763	5328	3245	416	2827	0
2026-08-21T03:14:57Z	steady	1	forgepilot-phase1-cap-20260821t030713z-53877bba63ce-frontend-1	930844	3276	1147	890	255	0
2026-08-21T03:14:57Z	steady	1	forgepilot-phase1-cap-20260821t030713z-53877bba63ce-frontend-1	930845	3276	1147	890	255	0
