timestamp	phase	sample	elapsed_seconds	some_avg10	some_avg60	some_avg300	some_total	full_avg10	full_avg60	full_avg300	full_total
2026-08-20T07:24:21Z	baseline	1	0	avg10=0.29	avg60=0.06	avg300=0.04	total=48043955	avg10=0.29	avg60=0.06	avg300=0.03	total=35071477
2026-08-20T07:24:38Z	baseline	2	16	avg10=0.04	avg60=0.04	avg300=0.04	total=48045908	avg10=0.04	avg60=0.04	avg300=0.02	total=35073395
2026-08-20T07:24:56Z	baseline	3	34	avg10=0.00	avg60=0.03	avg300=0.03	total=48045910	avg10=0.00	avg60=0.03	avg300=0.02	total=35073396
2026-08-20T07:25:14Z	baseline	4	52	avg10=0.00	avg60=0.02	avg300=0.03	total=48045910	avg10=0.00	avg60=0.02	avg300=0.01	total=35073396
2026-08-20T07:25:32Z	baseline	5	70	avg10=0.00	avg60=0.01	avg300=0.02	total=48048594	avg10=0.00	avg60=0.01	avg300=0.01	total=35075646
2026-08-20T07:25:50Z	baseline	6	88	avg10=0.00	avg60=0.00	avg300=0.02	total=48049521	avg10=0.00	avg60=0.00	avg300=0.01	total=35076550
2026-08-20T07:26:08Z	baseline	7	106	avg10=0.00	avg60=0.00	avg300=0.01	total=48049521	avg10=0.00	avg60=0.00	avg300=0.00	total=35076550
2026-08-20T07:26:25Z	baseline	8	124	avg10=0.00	avg60=0.00	avg300=0.01	total=48049521	avg10=0.00	avg60=0.00	avg300=0.00	total=35076550
2026-08-20T07:26:43Z	baseline	9	141	avg10=0.00	avg60=0.00	avg300=0.00	total=48049521	avg10=0.00	avg60=0.00	avg300=0.00	total=35076550
2026-08-20T07:27:01Z	baseline	10	159	avg10=0.00	avg60=0.00	avg300=0.00	total=48049521	avg10=0.00	avg60=0.00	avg300=0.00	total=35076550
2026-08-20T07:27:19Z	baseline	11	177	avg10=0.00	avg60=0.00	avg300=0.00	total=48049521	avg10=0.00	avg60=0.00	avg300=0.00	total=35076550
2026-08-20T07:27:36Z	baseline	12	194	avg10=0.00	avg60=0.00	avg300=0.00	total=48049521	avg10=0.00	avg60=0.00	avg300=0.00	total=35076550
2026-08-20T07:27:53Z	baseline	13	211	avg10=0.00	avg60=0.00	avg300=0.00	total=48050956	avg10=0.00	avg60=0.00	avg300=0.00	total=35077961
2026-08-20T07:28:11Z	baseline	14	229	avg10=0.00	avg60=0.00	avg300=0.00	total=48050956	avg10=0.00	avg60=0.00	avg300=0.00	total=35077961
2026-08-20T07:28:29Z	baseline	15	247	avg10=0.00	avg60=0.00	avg300=0.00	total=48050956	avg10=0.00	avg60=0.00	avg300=0.00	total=35077961
2026-08-20T07:28:47Z	baseline	16	265	avg10=0.00	avg60=0.00	avg300=0.00	total=48050956	avg10=0.00	avg60=0.00	avg300=0.00	total=35077961
2026-08-20T07:29:05Z	baseline	17	283	avg10=0.00	avg60=0.00	avg300=0.00	total=48050956	avg10=0.00	avg60=0.00	avg300=0.00	total=35077961
