timestamp	phase	sample	service	pid	Rss_kB	Pss_kB	Pss_Anon_kB	Pss_File_kB	Swap_kB
2026-08-20T07:30:26Z	baseline	1	cpa-manager-plus	1144	38432	38428	25984	12444	2436
2026-08-20T07:30:26Z	baseline	1	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:30:26Z	baseline	1	cloudflared	722	25900	25896	17712	8184	1428
2026-08-20T07:30:44Z	baseline	2	cpa-manager-plus	1144	38432	38428	25984	12444	2436
2026-08-20T07:30:44Z	baseline	2	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:30:44Z	baseline	2	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:31:02Z	baseline	3	cpa-manager-plus	1144	38756	38752	26248	12504	2436
2026-08-20T07:31:02Z	baseline	3	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:31:02Z	baseline	3	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:31:20Z	baseline	4	cpa-manager-plus	1144	38764	38760	26256	12504	2436
2026-08-20T07:31:20Z	baseline	4	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:31:20Z	baseline	4	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:31:37Z	baseline	5	cpa-manager-plus	1144	39032	39028	26524	12504	2436
2026-08-20T07:31:37Z	baseline	5	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:31:37Z	baseline	5	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:31:55Z	baseline	6	cpa-manager-plus	1144	38268	38264	25760	12504	2436
2026-08-20T07:31:55Z	baseline	6	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:31:55Z	baseline	6	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:32:13Z	baseline	7	cpa-manager-plus	1144	38276	38272	25768	12504	2436
2026-08-20T07:32:13Z	baseline	7	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:32:13Z	baseline	7	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:32:30Z	baseline	8	cpa-manager-plus	1144	38548	38544	26040	12504	2436
2026-08-20T07:32:30Z	baseline	8	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:32:30Z	baseline	8	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:32:48Z	baseline	9	cpa-manager-plus	1144	38548	38544	26040	12504	2436
2026-08-20T07:32:48Z	baseline	9	cli-proxy-api	1136	38724	38720	27148	11572	960
2026-08-20T07:32:48Z	baseline	9	cloudflared	722	25932	25928	17712	8216	1428
2026-08-20T07:33:06Z	baseline	10	cpa-manager-plus	1144	38812	38808	26304	12504	2436
2026-08-20T07:33:06Z	baseline	10	cli-proxy-api	1136	38724	38720	27148	11572	960
