ai-stub-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
ai-stub-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
ai-stub-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
ai-stub-1  | 10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
ai-stub-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
ai-stub-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
ai-stub-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
ai-stub-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: using the "epoll" event method
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: nginx/1.29.8
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: OS: Linux 5.15.0-190-generic
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: start worker processes
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: start worker process 21
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: start worker process 22
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: start worker process 23
ai-stub-1  | 2026/08/22 12:10:01 [notice] 1#1: start worker process 24
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/embeddings HTTP/1.1" 200 87 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/embeddings HTTP/1.1" 200 87 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:53 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:54 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
ai-stub-1  | 172.19.0.4 - - [22/Aug/2026:12:10:54 +0000] "POST /v1/chat/completions HTTP/1.1" 200 168 "-" "Java-http-client/21.0.12" "-"
