sequence,project_id,pr_number,pull_request_id,review_id,previous_review_id,status,execution_attempt,end_to_end_ms,provider_latency_ms,embedding_calls,embedding_failed,review_calls,prompt_tokens,completion_tokens,findings,findings_previous,same_key_as_previous,continuity_new,continuity_persisting,continuity_suppressed,warnings,warnings_line_corrected,warnings_dropped,ac_covered,ac_at_risk,ac_not_found,not_reviewed_files,decision
1,1,7,2,32,17,COMPLETED,1,1606215,173272,2,1,2,7260,3173,4,4,0,4,0,0,0,0,0,1,3,1,0,APPROVE
2,1,8,3,33,18,COMPLETED,1,174433,174233,2,1,2,6756,1823,2,3,1,1,1,0,4,4,0,1,2,1,0,PENDING
3,1,9,4,34,19,COMPLETED,1,300229,130845,1,0,2,7023,2748,4,5,3,1,3,0,0,0,0,0,4,0,0,PENDING
4,1,10,5,35,20,COMPLETED,1,234944,66778,1,0,2,7244,3488,5,5,0,5,0,0,0,0,0,0,5,0,0,PENDING
5,1,11,6,36,21,COMPLETED,1,352497,119714,1,0,2,6686,2478,4,4,0,4,0,0,0,0,0,0,4,0,0,PENDING
6,2,1,7,37,22,COMPLETED,1,429298,138808,2,1,2,6658,2039,1,1,0,1,0,0,0,0,0,0,2,2,0,PENDING
7,2,2,8,38,23,COMPLETED,1,412169,66156,1,0,2,6351,1709,3,2,0,3,0,0,0,0,0,0,2,2,0,PENDING
8,2,3,9,39,24,COMPLETED,1,503471,95044,1,0,2,6499,3153,6,6,1,5,1,0,0,0,0,0,4,1,0,PENDING
9,2,4,10,40,25,COMPLETED,1,495123,76845,1,0,2,6502,2410,5,5,0,5,0,0,0,0,0,0,3,2,0,PENDING
10,2,5,11,41,26,COMPLETED,1,529518,37478,1,0,2,6380,1707,3,3,0,3,0,0,0,0,0,0,3,1,0,PENDING
11,3,1,12,42,27,COMPLETED,1,607481,114871,1,0,2,7514,3111,5,2,2,3,2,0,0,0,0,0,2,3,0,PENDING
12,3,2,13,43,28,COMPLETED,1,611817,89431,1,0,2,7213,2766,4,4,3,1,2,1,1,0,1,0,1,3,0,PENDING
13,3,3,14,44,29,COMPLETED,1,662196,61445,1,0,2,7288,2847,4,4,4,0,4,0,4,4,0,0,0,4,0,PENDING
14,3,4,15,45,30,COMPLETED,1,657940,52863,1,0,2,6872,1594,3,3,3,0,3,0,0,0,0,0,3,1,0,PENDING
15,3,5,16,46,31,COMPLETED,1,803356,148849,1,0,2,7205,3475,4,4,4,0,4,0,0,0,0,0,4,0,0,PENDING
