sequence,fork_pr,upstream_pr,kind,linked_issues,changed_files,diff_chars,requirement_id,ac_count,review_id,status,execution_attempt,end_to_end_ms,provider_latency_ms,embedding_calls,embedding_failed,review_calls,review_timeouts,prompt_tokens,completion_tokens,findings,findings_requirement,findings_code_quality,confidence_high,confidence_medium,adjudication,warnings,warnings_line_corrected,warnings_dropped,ac_covered,ac_at_risk,ac_not_found,knowledge_excerpts,not_reviewed_files
1,1,10110,bugfix,10109,1,1286,41,3,47,COMPLETED,1,48397,48296,1,0,2,0,7141,834,0,0,0,0,0,,0,0,0,3,0,0,8,0
2,2,10291,cleanup,,2,2510,37,3,48,COMPLETED,1,35963,35866,1,0,2,0,6759,1361,0,0,0,0,0,,2,0,2,0,0,3,8,0
3,3,10262,bugfix,203,2,3235,27,3,49,COMPLETED,1,132258,101124,1,0,2,0,6302,2532,1,1,0,1,0,true,6,6,0,2,1,0,8,0
4,4,10264,bugfix,7747,2,3998,39,3,50,COMPLETED,1,91814,58829,1,0,2,0,9633,2381,0,0,0,0,0,,8,6,2,3,0,0,8,0
5,5,10146,feature,1651,3,3731,23,4,51,COMPLETED,1,216564,130285,1,0,2,0,9354,2382,1,1,0,1,0,true,5,4,1,2,1,1,8,0
6,6,10285,feature,,3,5143,35,4,52,COMPLETED,1,139924,24410,1,0,2,0,9057,1043,0,0,0,0,0,,5,5,0,4,0,0,8,0
7,7,10253,bugfix,8259,3,5418,22,4,53,COMPLETED,1,200974,66562,1,0,2,0,9199,1500,1,1,0,1,0,true,4,4,0,3,1,0,8,0
8,8,10300,bugfix,4347,2,7249,24,5,54,COMPLETED,1,245539,52567,1,0,2,0,8871,2512,0,0,0,0,0,,6,6,0,5,0,0,8,0
9,9,10294,bugfix,6380,2,6856,25,4,55,COMPLETED,1,357854,162431,1,0,2,0,8553,3167,1,0,1,0,1,arguable,6,6,0,3,1,0,8,0
10,10,10272,bugfix,10271,2,10590,26,5,56,COMPLETED,1,279749,41047,1,0,2,0,9766,1655,0,0,0,0,0,,7,7,0,5,0,0,8,0
11,11,10312,bugfix,,2,5483,36,6,57,COMPLETED,1,354036,80009,1,0,2,0,7452,2566,1,1,0,1,0,arguable,8,7,1,5,1,0,8,0
12,12,10314,bugfix,,3,5706,33,4,58,COMPLETED,1,480365,138444,1,0,2,0,7672,2964,1,1,0,1,0,true,1,1,0,1,2,1,8,0
13,13,10042,bugfix,10039,4,10641,21,5,59,COMPLETED,1,417070,73034,1,0,2,0,10066,3367,0,0,0,0,0,,11,8,2,4,1,0,8,0
14,14,10274,bugfix,8284,4,11689,20,4,60,COMPLETED,1,467301,55255,1,0,2,0,9192,2626,0,0,0,0,0,,8,8,0,4,0,0,8,0
15,15,10154,bugfix,,5,9157,30,4,61,COMPLETED,1,578536,116607,1,0,2,0,9986,2185,0,0,0,0,0,,7,6,1,3,1,0,8,0
16,16,10096,improvement,,4,8606,32,4,62,COMPLETED,1,510505,50879,1,0,2,0,10528,2284,1,1,0,1,0,true,4,4,0,2,2,0,8,0
17,17,10094,bugfix,,5,10566,31,4,63,COMPLETED,1,560938,55988,1,0,2,0,9559,2713,1,0,1,0,1,arguable,5,5,0,4,0,0,8,0
18,18,10032,bugfix,,6,15861,29,4,64,COMPLETED,1,663872,107242,1,0,2,0,10173,2191,0,0,0,0,0,,5,5,0,4,0,0,8,0
19,19,10150,bugfix,,2,7946,38,5,65,COMPLETED,1,634067,76449,1,0,2,0,8133,4069,1,0,1,1,0,true,5,3,1,2,2,1,8,0
20,20,10201,bugfix,7570;10155,4,12880,18,5,66,COMPLETED,1,698347,69873,1,0,2,0,10834,2598,0,0,0,0,0,,6,3,2,4,0,1,8,0
21,21,10292,cleanup,,3,5641,34,5,67,COMPLETED,1,694594,47336,1,0,2,0,8538,2255,0,0,0,0,0,,4,3,1,4,0,1,8,0
22,22,10189,improvement,10174,2,10897,40,4,68,COMPLETED,1,961729,272387,1,0,3,1,9100,2780,1,0,1,1,0,true,6,5,1,4,0,0,8,0
23,23,10289,bugfix,10281,9,49798,19,6,69,FAILED,3,5495529,738482,3,0,6,6,1524,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,24,10161,bugfix,,20,45240,28,6,70,COMPLETED,2,2996508,205092,3,2,2,0,15980,3993,1,0,1,0,1,arguable,6,6,0,5,1,0,8,0
